#SimpleGazeTrackerDataFile
#TRACKER_VERSION,0.11.1
#DATAFORMAT,T,X,Y,P
#RECORDED_EYE,L
#SCREEN_ORIGIN,BottomLeft
#TRACKER_ORIGIN,BottomLeft
#SCREEN_WIDTH,1024
#SCREEN_HEIGHT,768
#DOTS_PER_CENTIMETER_H,24.26
#DOTS_PER_CENTIMETER_V,24.26
#VIEWING_DISTANCE,57.29577951308232
#SACCADE_VELOCITY_THRESHOLD,20.0
#SACCADE_ACCELERATION_THRESHOLD,3800.0
#SACCADE_MINIMUM_DURATION,12
#SACCADE_MINIMUM_AMPLITUDE,0.2
#FIXATION_MINIMUM_DURATION,12
#BLINK_MINIMUM_DURATION,50
#RESAMPLING,0
#FILTER_TYPE,identity
#FILTER_WN,0.2
#FILTER_SIZE,5
#FILTER_ORDER,3
#START_REC,2022,5,19,12,34,30
#MESSAGE,0,starting task
#XPARAM,-62.112009,4.298324,130.992768
#YPARAM,-1.799944,-56.733472,-588.697851
#CALPOINT,500.000000,0.000000,-14.287473,23.743074,11.772512,3.059696
#CALPOINT,-500.000000,400.000000,-30.980058,-3.378883,4.250610,3.451207
#CALPOINT,0.000000,0.000000,42.197611,-18.531597,3.306959,1.235390
#CALPOINT,500.000000,400.000000,19.171940,-15.633957,7.458291,1.620099
#CALPOINT,0.000000,400.000000,12.359159,2.568040,9.072612,3.676048
#CALPOINT,500.000000,-400.000000,-60.459244,9.782802,10.620798,8.112199
#CALPOINT,-500.000000,0.000000,-21.294507,22.254672,7.633195,3.494341
#CALPOINT,0.000000,-400.000000,37.032272,-13.646112,4.853337,6.720547
#CALPOINT,-500.000000,-400.000000,16.260300,-7.158040,8.407785,3.040655
0.001,-497.8,-406.9,1124.3
3.055,-491.9,-407.1,1125.6
6.540,-496.2,-405.3,1124.9
12.109,-492.3,-405.9,1127.1
17.691,-494.8,-408.9,1127.3
23.192,-500.7,-412.1,1124.0
28.797,-495.7,-411.9,1124.5
34.328,-498.3,-411.4,1124.9
39.874,-500.3,-409.7,1124.6
45.441,-495.4,-407.6,1127.5
51.037,-495.1,-409.4,1127.6
56.653,-498.1,-410.8,1127.0
62.172,-500.1,-412.3,1125.0
67.704,-496.8,-414.4,1126.0
73.295,-499.8,-409.7,1126.1
78.859,-493.1,-412.9,1125.1
84.451,-491.9,-407.3,1125.7
89.966,-486.6,-406.0,1128.2
95.538,-488.4,-411.2,1130.4
101.118,-489.7,-407.0,1127.4
106.645,-484.4,-406.2,1127.5
112.205,-492.8,-402.7,1127.3
117.749,-498.3,-414.2,1125.3
123.299,-490.3,-415.7,1124.4
128.878,-501.4,-439.3,1113.5
134.388,-471.1,-455.2,1102.6
139.978,-463.0,-560.4,1046.5
145.560,-475.4,-677.2,988.7
151.124,-473.4,-849.8,887.9
156.653,NOPUPIL,NOPUPIL,FAIL
162.159,NOPUPIL,NOPUPIL,FAIL
167.788,NOPUPIL,NOPUPIL,FAIL
173.281,NOPUPIL,NOPUPIL,FAIL
178.895,NOPUPIL,NOPUPIL,FAIL
184.451,NOPUPIL,NOPUPIL,FAIL
189.963,NOPUPIL,NOPUPIL,FAIL
195.526,NOPUPIL,NOPUPIL,FAIL
201.092,NOPUPIL,NOPUPIL,FAIL
206.615,NOPUPIL,NOPUPIL,FAIL
212.227,NOPUPIL,NOPUPIL,FAIL
217.750,NOPUPIL,NOPUPIL,FAIL
223.320,NOPUPIL,NOPUPIL,FAIL
228.842,NOPUPIL,NOPUPIL,FAIL
234.426,NOPUPIL,NOPUPIL,FAIL
240.023,NOPUPIL,NOPUPIL,FAIL
245.497,NOPUPIL,NOPUPIL,FAIL
251.100,NOPUPIL,NOPUPIL,FAIL
256.658,NOPUPIL,NOPUPIL,FAIL
262.200,NOPUPIL,NOPUPIL,FAIL
267.819,NOPUPIL,NOPUPIL,FAIL
273.290,NOPUPIL,NOPUPIL,FAIL
278.833,NOPUPIL,NOPUPIL,FAIL
284.425,NOPUPIL,NOPUPIL,FAIL
290.023,NOPUPIL,NOPUPIL,FAIL
295.531,NOPUPIL,NOPUPIL,FAIL
301.133,NOPUPIL,NOPUPIL,FAIL
306.695,NOPUPIL,NOPUPIL,FAIL
312.198,NOPUPIL,NOPUPIL,FAIL
317.793,NOPUPIL,NOPUPIL,FAIL
323.346,NOPUPIL,NOPUPIL,FAIL
328.914,NOPUPIL,NOPUPIL,FAIL
334.487,NOPUPIL,NOPUPIL,FAIL
340.059,NOPUPIL,NOPUPIL,FAIL
345.591,NOPUPIL,NOPUPIL,FAIL
351.139,NOPUPIL,NOPUPIL,FAIL
356.667,NOPUPIL,NOPUPIL,FAIL
362.268,NOPUPIL,NOPUPIL,FAIL
367.798,NOPUPIL,NOPUPIL,FAIL
373.377,NOPUPIL,NOPUPIL,FAIL
378.968,NOPUPIL,NOPUPIL,FAIL
384.452,NOPUPIL,NOPUPIL,FAIL
390.041,NOPUPIL,NOPUPIL,FAIL
395.533,NOPUPIL,NOPUPIL,FAIL
401.136,NOPUPIL,NOPUPIL,FAIL
406.674,NOPUPIL,NOPUPIL,FAIL
412.275,NOPUPIL,NOPUPIL,FAIL
417.852,NOPUPIL,NOPUPIL,FAIL
423.406,-347.2,-843.6,843.5
428.935,-357.7,-827.4,859.2
434.512,-369.9,-816.1,868.3
440.051,-415.1,-788.3,901.5
445.617,-388.8,-784.6,890.6
451.180,-427.4,-753.8,922.8
456.735,-403.7,-755.5,913.4
462.528,-414.2,-729.6,922.2
467.837,-423.3,-722.3,926.8
473.413,-424.3,-707.1,941.0
478.956,-416.6,-695.5,945.5
484.489,-420.7,-687.7,949.1
490.061,-420.8,-682.6,954.0
495.602,-415.8,-665.5,962.9
501.169,-425.3,-669.6,961.7
506.736,-440.7,-658.9,980.7
512.281,-420.2,-676.8,960.1
517.836,-420.9,-682.8,958.3
523.281,-413.7,-674.5,962.7
528.951,-414.8,-676.6,963.7
534.503,-414.1,-679.2,958.8
540.063,-417.3,-682.5,958.9
545.624,-415.5,-686.3,958.0
551.177,-415.9,-694.7,953.9
556.731,-413.0,-695.6,953.1
562.286,-413.1,-702.5,950.0
567.836,-436.7,-701.1,965.3
573.394,-411.5,-713.4,944.9
578.966,-407.9,-719.6,941.6
